,Comp,LA,MIA,NY,PX,alpha
36260,0.928,-0.781,0.241,-0.48,0.157,0.00229002
36420,0.62,-0.246,0.006,-0.175,0.001,-0.0042803357
36500,0,-0.284,0.133,0.444,0.24,-0.0070156068
36540,1.554,-0.461,-0.048,-0.598,-0.089,-0.008104421
36740,0,0.093,0.014,0.313,0.654,-0.0120564032
36780,1.035,-0.493,0.079,-0.198,-0.071,-0.0100973873
36980,1.482,-0.564,-0.029,-0.591,-0.072,-0.0084393583
37100,1.119,0.493,0.078,-0.272,-0.23,0.0006063743
37340,0,0.206,0.431,0.414,0.187,-0.0181503385
37380,0,0.115,0.257,0.491,0.325,-0.0162263401
37460,0,-0.091,-0.088,0.828,0.487,-0.0047796541
37620,1.263,-0.469,-0.037,-0.522,-0.029,-0.0069161623
37700,0.071,-0.347,0.076,0.25,0.27,-0.0073887703
37764,2.562,-0.541,-0.39,-0.229,-0.231,0.008642139
37860,0,-0.109,0.042,0.396,0.451,-0.009804171
37900,1.196,-0.518,0.03,-0.415,-0.054,-0.0052940865
37964,0,0.086,0.069,0.54,-0.036,-0.0006303573
38060,0,0,0,0,1,-2.52421809030256E-14
38220,0.275,-0.33,-0.037,0.286,0.14,-0.0136826299
38300,0.532,-0.179,0.082,-0.162,-0.132,-0.0079958511
38340,0,-0.001,0.104,0.486,-0.048,-0.0081213559
38540,0,-0.337,0.114,0.125,0.204,-0.0067984622
38860,0.52,-0.088,-0.087,0.543,-0.025,-0.0023677349
38900,0,-0.285,0.141,0.119,0.438,0.0068964887
38940,0,0.291,0.827,0.115,-0.056,-0.0185582985
39100,0.123,0.13,-0.083,0.887,0.003,-0.0113220194
39140,0,-0.264,-0.001,0.485,0.76,-0.0055111694
39300,0.687,-0.084,0.031,0.705,-0.182,-0.0049107277
39340,0.787,-0.842,0.35,-0.458,0.28,0.0033107001
39380,1.683,-0.64,0.063,-0.48,-0.174,-0.0050303233
39460,0.517,0.22,0.461,0.054,0.046,-0.0164698711
39540,0.558,-0.388,0.032,0.272,0.1,-0.013098262
39580,0.681,-0.405,-0.046,-0.197,0.142,-0.0082603493
39660,1.219,-0.609,-0.003,-0.004,-0.06,0.0105314236
39740,0,-0.009,0.048,0.237,0.087,-0.0191623664
39820,0,0.185,0.232,0.601,0.164,-0.0135432369
39900,0.768,-0.12,0.072,0.166,0.453,-0.0152454272
40060,0,-0.02,-0.061,0.358,0.295,-0.0062432607
40140,0.757,0.828,0.429,-0.674,-0.135,-0.0108662717
40220,0,-0.139,0.006,0.29,0.111,-0.0079752467
40340,1.698,-0.46,-0.357,-0.185,0.029,-0.0069393089
40380,0.139,-0.02,-0.094,0.139,0,-0.0235181415
40420,0.282,-0.336,0.107,0.259,0.046,-0.0252046682
40484,1.626,-0.402,-0.178,0.236,-0.1,-0.0001875851
40580,1.007,-0.396,-0.322,-0.042,0.182,-0.0197055155
40660,1.405,-0.539,-0.266,0.005,0.092,-0.0129637116
40900,2.313,0.067,-0.06,-0.547,-0.145,-0.0080693452
40980,2.071,-0.695,-0.079,-0.494,-0.085,-0.0193845117
41060,1.178,-0.475,-0.028,0.147,-0.022,-0.0031036412
41100,0,-0.483,0.231,0.099,0.782,-0.0069346895
41140,1.496,-0.517,-0.089,-0.36,-0.054,-0.0057384266
41180,1.099,-0.336,-0.056,-0.085,-0.009,-0.0085894867
41420,0.022,-0.447,0.135,0.214,0.375,-0.0035614122
41500,3.336,-0.41,0.254,-0.943,-0.293,-0.0033674385
41540,0,-0.054,-0.003,0.842,0.171,-0.0031957768
41620,0.059,-0.6,0.494,-0.244,0.342,0.0091143818
41660,0.196,-0.041,-0.135,-0.218,0.141,-0.0011050415
41700,0.103,-0.178,0.252,-0.103,-0.024,-0.0036976724
41740,2.173,0.144,0.046,-0.571,-0.406,0.0075919656
41780,1.936,-0.633,-0.047,-0.469,-0.143,-0.0188858292
41884,3.774,-0.425,-0.711,-1.184,-0.091,0.0196471946
41940,3.744,-0.348,-0.621,-1.507,0.031,0.0162029268
42020,1.56,-0.022,-0.334,0.329,0.079,0.0017228071
42044,0.643,0.802,-0.175,-0.141,-0.089,0.004718628
42060,2.038,0.085,-0.146,-0.082,-0.154,0.0009750786
42100,2.854,-0.339,-0.75,-0.364,0.272,0.0065255383
42140,0,-0.485,0.457,0.448,0.034,-0.0051269308
42220,3.437,-0.389,-0.426,-0.815,-0.028,0.0028286563
42340,0.393,-0.179,-0.285,0.414,0.354,-0.0026190313
42540,0,-0.176,0.168,0.137,-0.013,-0.0154185991
42644,0.339,0.05,-0.389,0.11,0.556,0.0044967073
42680,0,0.148,0.209,0.446,0.402,-0.0159927559
43100,1.177,-0.632,0.054,-0.224,0.029,-0.005963572
43300,1.145,-0.365,-0.358,-0.208,0.2,-0.0074645968
43340,0.131,-0.114,0.053,0.062,0.009,-0.005477742
43580,1.268,-0.574,0.151,-0.636,-0.148,-0.0041892979
43620,0.978,-0.458,-0.001,-0.27,-0.008,-0.0032089102
43780,1.161,-0.439,-0.096,-0.255,0.011,-0.0136552477
43900,1.101,-0.449,-0.145,-0.209,0.026,-0.0131990944
44060,0,-0.437,0.254,0.222,0.241,-0.0073950925
